bdsk-url-1,year,volume,url,title,pages,number,journal,isbn,id,doi,date-modified,date-added,date,author,Type of product,ID,publisher,bdsk-url-2,note,keywords,eprint,abstract,issn,urldate,month,language,booktitle,volumne,version,editor,edition,copyright,author+an,address,pmid,type
https://doi.org/10.4113/jom.2010.1137,2010,6,,"Geo-environmental cartography of the marine protected area ""isola di bergeggi"" ({Liguria}, {NW} mediterranean sea)",,,Journal of Maps,,,10.4113/jom.2010.1137,,,,"{\textbf{Rovere}}, A. and Parravicini, V. and Vacchi, M. and Montefalcone, M. and Morri, C. and Bianchi, C.N. and Firpo, M.",article,Rovere_geo-environmental_2010,,,,,,"Marine Protected Areas (MPAs) are considered one of the main tools for conservation, valorisation and management of coastal marine environments, and are defined by Italian Law (derived from European directives) as territories with ""physical, geological, geomorphological and biological features having relevant naturalistic and environmental value"". While the bionomic mapping of MPAs has received large attention by researchers, MPA geological or geomorphological cartographies have been seldom realized. In this study we present a geomorphological cartography, comprising also environmental themes having a geomorphological significance, realized in the MPA ""Isola di Bergeggi"".",17445647,,,,,,,,,All rights reserved,,,,
,2010,64,,"Bringing geoheritage underwater: definitions, methods, and application in two {Mediterranean} marine areas",133--142,1,Environmental Earth Sciences,,,,,,,"{\textbf{Rovere}}, Alessio and Vacchi, Matteo and Parravicini, Valeriano and Bianchi, C N and Zouros, N and Firpo, Marco",article,Rovere_bringing_2010,,,Publisher: Springer,SEAMAP,,,,,,,,,,,,All rights reserved,,,,
,2010,17,,Posidonia oceanica through time: modern and paleoecological perspectives from the {Bergeggi} {Vado} {Ligure} area ({SV}),157--160,1,Biologia Marina Mediterranea,,,,2024-02-21 15:49:47 +0100,,,"{\textbf{Rovere}}, Alessio and Montefalcone, Monica and Vassallo, P and Paoli, C and Vacchi, Matteo and Morri, Carla and Bianchi, C N and Firpo, Marco and Albertelli, G and Fabiano, M",periodical,Rovere_posidonia_2010,,,,,,,,,,,,,,,,All rights reserved,,,,
https://doi.org/10.1002/aqc.1214,2011,21,,"Combining geomorphologic, biological and accessibility values for marine natural heritage evaluation and conservation",541--552,6,Aquatic Conservation: Marine and Freshwater Ecosystems,,,10.1002/aqc.1214,,,,"{\textbf{Rovere}}, Alessio and Parravicini, Valeriano and Firpo, Marco and Morri, Carla and Nike Bianchi, Carlo",article,Rovere_combining_2011,,,ISBN: 1099-0755 Publisher: Wiley Online Library,"Coastal, SEAMAP, Benthos, Habitat management, Landscape, Sublittoral",,"1. Natural heritage is the complex of geomorphologic and biological elements worthy of conservation. 2. Especially in the marine environment, conservation effort is often focused on the biological elements only, while multi-disciplinary approaches, including abiotic elements and social issues, are needed. 3. A procedure to evaluate the Marine Natural Heritage (MNH) as a whole, integrating geomorphology and biology, was tested in two coastal areas in the Ligurian Sea (NW Mediterranean): Punta Manara, a European Site of Community Interest (SCI), and Finale -- Vado Ligure (non-SCI). In each area, scuba surveys were carried out at six sites to categorize subtidal landforms and habitats, and these were then used as evaluation units for assigning scores to subcategories of both geomorphological (Integrity, Representativeness, Rarity, Paleogeographic, Aesthetic) and biological (Naturalness, Vulnerability, Rarity, Economic, Aesthetic) categories. 4. Four sites in the area of Punta Manara obtained high scores, thus fully justifying the special management measures required for SCI implementation. However, two sites in the Finale -- Vado Ligure area exhibited biological heritage values higher than those of Punta Manara, while a third site exhibited values comparable with those of Punta Manara when considering both biology and geomorphology. This highlighted the presence of features worth conserving also in non-SIC situations. 5. Accessibility to scuba divers was evaluated by means of a simple scheme, and added information on the perception of MNH in the study sites. 6. It is suggested that the evaluation system may be used, with appropriate benchmarking, in other areas for the selection of sites proposed for legal protection or special management measures, based on their natural heritage values.",10527613,,,,,,,,,All rights reserved,,,,
https://doi.org/10.1007/s12371-010-0019-4,2011,3,,From geoheritage to sustainable development: {Strategies} and perspectives in the {Beigua} {Geopark} (italy),63--72,2,Geoheritage,,,10.1007/s12371-010-0019-4,,,,"Burlando, Maurizio and Firpo, Marco and Queirolo, Cristiano and {\textbf{Rovere}}, Alessio and Vacchi, Matteo",article,burlando_geoheritage_2011,,,ISBN: 18672477 (ISSN) Publisher: Springer,"Geodiversity, Geoheritage, Geoparks, Geotourism, Sustainable development",,"The consequence of assessing the natural and cultural heritage of a territory is the need of tools for their management. The European Geoparks Network and the Global Geoparks Network (assisted by UNESCO) have the function to provide these tools, aiming at promoting the sustainable development of a territory through the valorization and conservation of its natural and cultural heritage. Becoming an international recognised Geopark in 2005, the Beigua territory has gathered increasing attention from local authorities, tourism operators, entrepreneurs, universities and research institutions, schools, volunteers and environmental associations. During the last 5 years Beigua Geopark developed several projects and acted to raise public awareness on nature conservation. Thanks to effective collaboration with geoscientists, local authorities and tourism organisations, Beigua Geopark set up a",18672485,,,,,,,,,All rights reserved,,,,
https://doi.org/10.1016/j.quaint.2010.05.016,2011,232,,"Underwater geomorphology of the rocky coastal tracts between {Finale} {Ligure} and {Vado} {Ligure} (western {Liguria}, {NW} {Mediterranean} {Sea})",187--200,1-2,Quaternary International,,,10.1016/j.quaint.2010.05.016,,,,"{\textbf{Rovere}}, Alessio and Vacchi, Matteo and Firpo, Marco and Carobene, Luigi",article,Rovere_underwater_2011,,,ISBN: 1040-6182 Publisher: Elsevier Ltd and INQUA,,,"The western part of the Liguria Region (NW Mediterranean Sea) has been reported as tectonically stable to slowly uplifting since the Late Pleistocene. Despite good knowledge of the coastal geomorphological features above sea level, very little information is available on the characteristics of the underwater coastlines. Direct and indirect underwater surveys carried out in the area between Vado Ligure and Finale Ligure (Western Liguria) allowed the identification of several surfaces of marine origin, in four sites, at three depth intervals: 8-13. m, 17-23. m and 27-30. m. These values appear to be in bathymetric analogy with those reported by other authors along the Italian coastlines, in areas where the tectonic movements along the Late Quaternary are considered negligible on the basis of the elevation of the MIS 5.5 shoreline. Although few chronological constraints are possible due to the lack of dateable material, the marine morphologies identified in this study constrain their ages to the Middle and Late Quaternary. {\copyright} 2010 Elsevier Ltd and INQUA.",10406182,,,,,,,,,All rights reserved,,,,
https://doi.org/10.1016/J.QUAINT.2010.07.003,2011,232,,"Relative sea level change at the archaeological site of {Pyrgi} ({Santa} {Severa}, {Rome}) during the last seven millennia",82--91,1-2,Quaternary International,,,10.1016/J.QUAINT.2010.07.003,,,,"{\textbf{Rovere}}, Alessio and Enei, Flavio and Giorgi, Stefano",article,Rovere_relative_2011,,,Publisher: Pergamon,,,"New data are presented for late Holocene relative sea level change for one of the older harbors of the Mediterranean Sea. Data are based on measurements of submerged archaeological remains, indicating past sea level and shoreline positions. The study has been carried out at Pyrgi (Santa Severa), an important Etruscan archaeological site located in central Italy, 52 km north of Rome. Underwater geomorphological features (a large shore platform) and archaeological remains (a Roman dock, two fishtanks, and wells of Etruscan age) connected to relative sea level and to the shoreline during the last 7 millennia have been measured and compared with current glacio-hydro-isostatic theoretical models in order to reconstruct the long-term shoreline evolution and to evaluate coastal tectonic vertical movements, so far derived for this area only from Last Interglacial (125 ka) sea level markers.",1040-6182,,,,,,,,,All rights reserved,,,,
https://doi.org/10.1016/j.ecolind.2011.07.027,2012,19,,Understanding relationships between conflicting human uses and coastal ecosystems status: {A} geospatial modeling approach,253--263,,Ecological Indicators,,,10.1016/j.ecolind.2011.07.027,,,,"Parravicini, V. and {\textbf{Rovere}}, A. and Vassallo, P. and Micheli, F. and Montefalcone, M. and Morri, C. and Paoli, C. and Albertelli, G. and Fabiano, M. and Bianchi, C. N.",article,parravicini_understanding_2012,,,ISBN: 1470-160X Publisher: Elsevier Ltd,"Mediterranean Sea, Cartography, Ecosystem status, Ecosystem-based management, Marine spatial planning, Multiple stressors, Random forests",,"Human use of ecosystem resources and services is increasing worldwide, generating pressures that alter ecosystem structure, functioning and provision of services. Unexpected ecosystem change is becoming frequent, and the complex ways through which multiple human pressures may interact leave conservation practitioners and natural resource managers faced with high uncertainty. We developed a geospatial approach for modeling the complex relationships between multiple human pressures and coastal ecosystems status. This framework was then used to produce maps of the expected status of marine coastal ecosystems resulting from variation in the cumulative human pressure. The geospatial modeling approach we developed was tested on an emblematic study case requiring marine spatial planning, i.e. a recently established marine protected area (MPA) that will have to coexist with the expansion of a close commercial harbor. In the study case presented, our modeling approach was used to predict the status of coastal ecosystems resulting from different management alternatives. Results showed that should Port Authority support MPA in reducing human pressures in the area, coastal ecosystems would not be expected to further deteriorate as a consequence of harbor expansion. Our approach proved effective in modeling complex interaction among multiple pressures (e.g. synergisms) and predicting potential future scenarios. The implementation of this approach into geographical information systems (GIS) allows managers to represent the expected outcomes of their planned conservation efforts, thereby representing an important decision-support tool for finding efficient management solutions in the face of complex interactions and high uncertainty. ?? 2011 Elsevier Ltd. All rights reserved.",1470160X,,,,,,,,,All rights reserved,,,,
https://doi.org/10.1016/j.geomorph.2012.03.004,2012,159-160,,Spatial distribution of sea-level markers on {Lesvos} {Island} ({NE} {Aegean} {Sea}): {Evidence} of differential relative sea-level changes and the neotectonic implications,50--62,,Geomorphology,,,10.1016/j.geomorph.2012.03.004,,,,"Vacchi, Matteo and {\textbf{Rovere}}, Alessio and Zouros, Nickolas and Desruelles, St{\'e}phane and Caron, Vincent and Firpo, Marco",article,vacchi_spatial_2012,,,ISBN: 0169-555X Publisher: Elsevier B.V.,"SEAMAP, Aegean Sea, Coastal uplift, Lesvos Island, Relative sea-level changes, Tectonic geomorphology",,"The aim of this study is to provide new data on relative sea-level changes and neotectonics of the northeastern Aegean Sea region (Eastern Mediterranean) through the analysis of the coastal geomorphology of Lesvos, the third largest Greek island. There is a paucity of presently available data in this sector of the Aegean Sea, which is a tectonically active area strongly controlled by the North Anatolian Fault. In this paper, morphological, biological and sedimentary records of paleo-sea levels have been used to reconstruct relative sea-level changes, to identify variations in the tectonic regimes as well as to assess the paleoseismicity in the studied areas. According to the results, late Quaternary relative sea-level changes at Lesvos were not homogenous and variations in the tectonic setting played a crucial role in the coastal evolution. The NW-SE trending faults on the southern shore of the island control a significant uplift affecting about 30. km of coastline. This uplift trend is controlled by the footwall of the Lesvos Fault, a major offshore normal fault that has been subject to relatively little quantitative investigation. Radiocarbon dating indicated that the last co-seismic uplift took place at 3365-3963. cal. yr BP and resulted in about 0.75. m of vertical displacement. In contrast, all the paleo-sea-level markers mapped in the northeastern sector were presently underwater and, despite the high seismicity of the area, no evidence of coastal uplift was observed in this part of the island. Thus, the paper provides the first field evidence of a differential late Quaternary evolution of Lesvos Island. In addition, results represent the first quantitative information on the activity of the Lesvos Fault, suggesting a reconsideration of its importance in the neotectonics of the area. {\copyright} 2012 Elsevier B.V.",0169555X,,,,,,,,,All rights reserved,,,,
https://doi.org/10.3390/d4040419,2012,4,,"The challenge of managing marine biodiversity: {A} practical toolkit for a cartographic, territorial approach",419--452,4,Diversity,,,10.3390/d4040419,,,,"Bianchi, Carlo Nike and Parravicini, Valeriano and Montefalcone, Monica and {\textbf{Rovere}}, Alessio and Morri, Carla",article,bianchi_challenge_2012,,,ISBN: 1424-2818 Publisher: Multidisciplinary Digital Publishing Institute,"SEAMAP, Environmental quality, Integrated coastal zone management, Marine protected areas, Natural emergencies, Susceptibility to use, Weighted vulnerability",,"An approach to the management of marine biodiversity was developed based on two levels of environmental diagnostics: (1) the characterization (to identify types), and (2) the evaluation (to define status and values). Both levels involve the production of maps, namely: (i) morphobathymetry and sedimentology; (ii) habitats; (iii) natural emergencies; (iv) degradation and risk; (v) weighted vulnerability; (vi) environmental quality; and, \${\textbackslash}backslash\$n(vii) susceptibility to use. A general methodological aspect that must be stated first is the need of dividing the mapped area in territorial units corresponding to submultiples of the UTM grid and having different sizes according to the scale adopted. Territorial units (grid cells) are assigned to one of five classes of evaluation, ranging from high necessity of conservation or protection to non-problematic, unimportant or already compromised (according to the specific map) situations. Depending on the scale, these maps are suited for territorial planning (small scales, allowing for a synoptic view) or for administration and decision making (large scales, providing detail on local situations and problems). Mapping should be periodically repeated (diachronic cartography) to assure an efficient tool for integrated coastal zone management.",14242818,,,,,,,,,All rights reserved,,,,
https://doi.org/10.1080/19475721.2012.671190,2012,3,,Seafloor integrity down the harbor waterfront: the coralligenous shoals off {Vado} {Ligure} ({NW} {Mediterranean}),51--67,1,Advances in Oceanography and Limnology,,,10.1080/19475721.2012.671190,,,,"Gatti, Giulia and Montefalcone, Monica and {\textbf{Rovere}}, Alessio and Parravicini, Valeriano and Morri, Carla and Albertelli, Giancarlo and Nike Bianchi, Carlo",article,gatti_seafloor_2012,,,Publisher: Taylor \${\textbackslash}backslash\$\& Francis Group,"mediterranean sea, SEAMAP, assessment technique, coralligenous, ecological quality status, rapid visual, seascape",,"In the last ten years, European Directives stressed the necessity to assess the ecological status of marine habitats by means of ecosystem or landscape indicators, rather than just species or chemical ones. In this paper, the seascape approach to characterise and assess the ecological quality of coralligenous rocky shoals of Vado Ligure (Savona, Italy) is introduced. This approach integrates biological, mesological and geomorphological information collected with a Rapid Visual Assessment technique (RVA). The RVA also optimised underwater operations in deep waters where coralligenous reefs usually develop and provided a sufficient amount of data collected by direct inspection. The seascape approach results are appropriate for the characterisation of the coralligenous shoals studied and for the assessment of their ecological quality. The quality of the assemblages was in general low, mainly due to high sedimentary stress; however, some exceptions showing a high ecological quality indicate that, with proper management tools, they would still have good potentialities of recovery.\${\textbackslash}backslash\$nIn the last ten years, European Directives stressed the necessity to assess the ecological status of marine habitats by means of ecosystem or landscape indicators, rather than just species or chemical ones. In this paper, the seascape approach to characterise and assess the ecological quality of coralligenous rocky shoals of Vado Ligure (Savona, Italy) is introduced. This approach integrates biological, mesological and geomorphological information collected with a Rapid Visual Assessment technique (RVA). The RVA also optimised underwater operations in deep waters where coralligenous reefs usually develop and provided a sufficient amount of data collected by direct inspection. The seascape approach results are appropriate for the characterisation of the coralligenous shoals studied and for the assessment of their ecological quality. The quality of the assemblages was in general low, mainly due to high sedimentary stress; however, some exceptions showing a high ecological quality indicate that, with proper management tools, they would still have good potentialities of recovery.",1947-5721,,,,,,,,,All rights reserved,,,,
https://doi.org/10.5194/nhess-12-1109-2012,2012,12,,Assessing enigmatic boulder deposits in {NE} {Aegean} {Sea}: {Importance} of historical sources as tool to support hydrodynamic equations,1109--1118,4,Natural Hazards and Earth System Science,,,10.5194/nhess-12-1109-2012,,,,"Vacchi, Matteo and {\textbf{Rovere}}, Alessio and Zouros, N and Firpo, Marco",article,vacchi_assessing_2012,,,ISBN: 1684-9981,,,"Due to their importance in the assessment of coastal hazards, several studies have focused on geomorphological and sedimentological field evidence of catastrophic wave impacts related to historical tsunami events. Among them, many authors used boulder fields as important indicators of past tsunamis, especially in the Mediterranean Sea. The aim of this study was to understand the mechanism of deposition of clusters of large boulders, consisting of beachrock slabs, which were found on the southern coasts of Lesvos Island (NE Aegean Sea). Methods to infer the origin of boulder deposits (tsunami vs. storm wave) are often based on hydrodynamic models even if different environmental complexities are difficult to be incorporated into numerical models. In this study, hydrodynamic equations did not provide unequivocal indication of the mechanism responsible for boulder deposition in the study area. Further analyses, ranging from geomorphologic to seismotectonic data, indicated a tsunami as the most likely cause of displacement of the boulders but still do not allow to totally exclude the extreme storm origin. Additional historical investigations (based on tsunami catalogues, historical photos and aged inhabitants interviews) indicated that the boulders are likely to have been deposited by the tsunami triggered by the 6.7 M s Chios-Karaburum earthquake of 1949 or, alternatively, by minor effects of the destructive tsunami produced by 1956's Amorgos Island earthquake. Results of this study point out that, at Mediterranean scale, to flank numerical models with the huge amount of the available historical data become a crucial tool in terms of prevention policies related to catastrophic coastal events. {\copyright} 2012 Author(s). CC Attribution 3.0 License.",15618633,,,,,,,,,All rights reserved,,,,
https://doi.org/10.1016/j.quascirev.2012.09.014,2012,56,,Crowdsourcing in the {Quaternary} sea level community: {Insights} from the {Pliocene},164--166,,Quaternary Science Reviews,,,10.1016/j.quascirev.2012.09.014,,,,"{\textbf{Rovere}}, A. and Raymo, M. E. and O'Leary, M. J. and Hearty, P. J.",article,Rovere_crowdsourcing_2012,,,ISBN: 0277-3791 Publisher: Elsevier Ltd,"MEDFLOOD, PLIOMAX, Crowdsourcing, Plio-Quaternary sea levels, RSL databases",,"In order to establish the 'fingerprint' of past sea level changes, many field measurements of paleo sea level from globally distributed locations are needed. It is because this problem requires a geographically expansive database that it becomes an ideal candidate for crowdsourcing techniques. In order to crowdsource sea level data from the Mid-Pliocene Warm Period, we developed three tools: PlioWiki, RSLcalcand RSLmap. PlioWiki is a web portal, open to contributions, where investigators can share knowledge on Pliocene to Quaternary relative sea levels. RSLcalcis a standardized, ready-to-use tool for field geologists to log their own sea level field observations and, if they desire, submit new data to an open access database of relative sea level markers. RSLmapallows one to visualize and query the database built with RSLcalcon a Google Map interface. Here we describe these tools and discuss the advantages of crowdsourcing, relative to traditional approaches, for the creation of sea level databases for any time period. {\copyright} 2012 Elsevier Ltd.",02773791,,,,,,,,,All rights reserved,,,,
https://doi.org/10.3723/ut.30.201,2012,30,,Monitoring the effectiveness of re-establishing beaches artificially: {Methodological} and practical insights into the use of video transects and {SCUBA}-operated coring devices,201--206,4,Underwater Technology,,,10.3723/ut.30.201,,,,"Vacchi, Matteo and {\textbf{Rovere}}, Alessio and Schiaffino, C F and Ferrari, M.",article,vacchi_monitoring_2012,,,,"SEAMAP, Beach monitoring, GPS geo-referencing, Rapid coring techniques, SCUBA, Underwater surveys, Video transect",,"Artificially rebuilding beaches is one of the main methods used to stabilise or restore them after severe erosion events. Best practices should involve some form of monitoring prior to, during and post beach re-building. The most frequently applied monitoring techniques for Italian (and Mediterra- nean) beaches are topographic and bathymetric surveys carried out in regular time intervals in order to understand beach evolution. Morphological studies, based on grain- size profile analyses, can indicate the sedimentary evolution of the beach. In the present study, SCUBA diving techniques were employed in addition to traditional survey methods in order to monitor two study areas along the Ligurian coast (northwest Mediterranean Sea): Ospedaletti and Genova Vernazzola. In particular, a diver-operated, cost-effective coring system obtained marine sediment cores, and video transects and inspections generated information on the status of coastal defence structures (e.g. groynes). Using those methods, the main vertical discontinuities along the submarine beach were identified, as were points of erosion on the submarine parts of groynes. Such innovative techniques provided data that are not easily achievable with traditional monitoring techniques. Future monitoring programmes should consider these new methods as a way of improving assessment efficiency. Keywords:",17560543,,,,,,,,,All rights reserved,,,,
,2012,,,Mediterranean {Sea} biodiversity between the legacy from the past and a future of change,1--55,,,,,,,,,"Bianchi, CN and Morri, Carla and Chiantore, Mariachiara and Parravicini, Valeriano and {\textbf{Rovere}}, Alessio",book,bianchi_mediterranean_2012,Nova Publishers,,Section: 1,,,,,,,,Life in the {Mediterranean} {Sea}: {A} {Look} at {Habitat} {Changes},,,"Stambler, Noga",,All rights reserved,5=highlight,,,
